species,longitude,latitude
Baccharis dracunculifolia,-63.83,-24.81
Baccharis dracunculifolia,-65.89,-24.55
Baccharis dracunculifolia,-58.4,-31.91
Baccharis dracunculifolia,-55.7,-27.87
Baccharis dracunculifolia,-54.41,-25.88
Baccharis dracunculifolia,-58.72,-26.92
Baccharis dracunculifolia,-64.98,-23.47
Baccharis dracunculifolia,-58.93,-28.46
Baccharis dracunculifolia,-64.42,-24.03
Baccharis dracunculifolia,-54.92,-26.88
Baccharis dracunculifolia,-60.54,-32.19
Baccharis dracunculifolia,-58.18,-27.99
Baccharis dracunculifolia,-59.63,-26.82
Baccharis dracunculifolia,-55.0353,-29.0422
Baccharis dracunculifolia,-55.3683,-29.5928
Baccharis dracunculifolia,-51.0833,-29.95
Baccharis dracunculifolia,-54.19362,-29.461052
Baccharis dracunculifolia,-50.40473,-25.864758
Baccharis dracunculifolia,-49.6875,-25.7164
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
