gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1927957853	d415c253-4d61-4459-9d25-4015b9084fb0	0d78cbe2-061e-4dd9-88a1-8d4ecfcad89c	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia DC.	DC.	BO	6.5 km (by road), 3 km (by air) NE of central square in Mairana on road to Yunga de Mairana.	Santa Cruz	PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862	-18.1	-63.93			1800.0	0.0			1998-05-09T00:00:00	9	5	1998	3129176	3129176	PRESERVED_SPECIMEN	NY	NY	330579	49292	H. E. Robinson	1999-01-01T00:00:00	CC0_1_0	The New York Botanical Garden	M. H. Nee			2021-04-28T19:47:36.887Z		GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
1927936645	d415c253-4d61-4459-9d25-4015b9084fb0	0bfb9169-14d0-49e5-93a9-55b6de796f0f	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia DC.	DC.	BR	Brasilia		PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862													3129176	3129176	PRESERVED_SPECIMEN	NY	NY	787613	107			CC0_1_0	The New York Botanical Garden	A.-C. Vauthier			2021-04-28T19:48:22.232Z	StillImage	COLLECTION_MATCH_FUZZY
1927915286	d415c253-4d61-4459-9d25-4015b9084fb0	0a75d8c0-a9d0-4305-a0d9-a1d920fca45c	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia DC.	DC.	BR			PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862													3129176	3129176	PRESERVED_SPECIMEN	NY	NY	787635	s.n.			CC0_1_0	The New York Botanical Garden	F. Sellow			2021-04-28T19:47:38.073Z	StillImage	COLLECTION_MATCH_FUZZY
1927896876	d415c253-4d61-4459-9d25-4015b9084fb0	0923c9c8-b97d-475d-96fe-0b991cfd36e0	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia DC.	DC.	BR	"Parque do Estado (on old maps ""Parque de Agua Funda""), grounds of the Instituto de Botânica. 9.8km south and 0.8km east of center of Sao Paulo (Praça da Sé)."	São Paulo	PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862	-23.43	-46.63			780.0	0.0			1960-04-05T00:00:00	5	4	1960	3129176	3129176	PRESERVED_SPECIMEN	NY	NY	787634	1808	J. J. Wurdack	1961-01-01T00:00:00	CC0_1_0	The New York Botanical Garden	G. Eiten			2021-04-28T19:47:37.157Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
1927888330	d415c253-4d61-4459-9d25-4015b9084fb0	08812234-e7ad-4a45-a609-1f84e8241a66	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia DC.	DC.	BR	Rio Tavares, Ilha S. Catarina.	Santa Catarina	PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862					2.0	0.0			1953-05-13T00:00:00	13	5	1953	3129176	3129176	PRESERVED_SPECIMEN	NY	NY	787500	713	Á. L. Cabrera	1957-01-01T00:00:00	CC0_1_0	The New York Botanical Garden	R. Reitz			2021-04-28T19:48:27.975Z	StillImage	COLLECTION_MATCH_FUZZY
1927838425	d415c253-4d61-4459-9d25-4015b9084fb0	04fe2b5e-799c-4c8d-8d62-5bbeecd001a1	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia DC.	DC.	BR		Mato Grosso	PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862									1948-01-01T00:00:00			1948	3129176	3129176	PRESERVED_SPECIMEN	NY	NY	00847080	188	G. M. Barroso	1949-01-01T00:00:00	CC0_1_0	The New York Botanical Garden	Guerra			2021-04-28T19:48:21.086Z	StillImage	COLLECTION_MATCH_FUZZY
1927774873	d415c253-4d61-4459-9d25-4015b9084fb0	00771780-17e6-450a-bcbb-411b68be3dc8	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia DC.	DC.	BR	Sede da propriedade do Sr. Antonio Zuza deOliveira e Silvania Aparecida Polo de Oliveira, vizinha ao Parque Estadual Furnas do Bom Jesus. Quintal da casa.	São Paulo	PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862	-20.2042	-47.4619							2004-01-21T00:00:00	21	1	2004	3129176	3129176	PRESERVED_SPECIMEN	NY	NY	720030	150			CC0_1_0	The New York Botanical Garden	A. B. Junqueira			2021-04-28T19:48:27.113Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
1913598168	1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3	BRA:USP:SPF:222644	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia	DC.	BR	Fazenda Escola; Universidade Estadual de Londrina.	Paraná	PRESENT		76dbcb10-efc5-4d5f-87a5-bcd409fc92c8	-25.3	-48.916667							2011-12-07T00:00:00	7	12	2011	3129176	3129176	PRESERVED_SPECIMEN	USP	SPF	222644	1	Heiden, G	2017-10-01T00:00:00	CC_BY_NC_4_0	SPF - Herbário da Universidade de São Paulo	Rodrigues, EP			2021-04-24T18:09:15.009Z		GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION
1913598167	1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3	BRA:USP:SPF:222638	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia	DC.	BR	Sítio São Pedro, estrada São Pedro km 2.	Paraná	PRESENT		76dbcb10-efc5-4d5f-87a5-bcd409fc92c8									1986-11-10T00:00:00	10	11	1986	3129176	3129176	PRESERVED_SPECIMEN	USP	SPF	222638	s.n.	Teles, AM	2009-08-01T00:00:00	CC_BY_NC_4_0	SPF - Herbário da Universidade de São Paulo	Martins, J			2021-04-24T18:09:16.952Z		DIFFERENT_OWNER_INSTITUTION
1913598163	1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3	BRA:USP:SPF:222637	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia	DC.	BR		São Paulo	PRESENT		76dbcb10-efc5-4d5f-87a5-bcd409fc92c8									1985-05-12T00:00:00	12	5	1985	3129176	3129176	PRESERVED_SPECIMEN	USP	SPF	222637	s.n.	Pizzaia, LN	1985-01-01T00:00:00	CC_BY_NC_4_0	SPF - Herbário da Universidade de São Paulo	Lemos, RP			2021-04-24T18:09:17.012Z		DIFFERENT_OWNER_INSTITUTION
