species,longitude,latitude
Baccharis dracunculifolia,-51.224722,-27.401667
Baccharis dracunculifolia,-52.0905,-25.7665
Baccharis dracunculifolia,-65.633056,-28.1225
Baccharis dracunculifolia,-78.5,-2.233
Baccharis dracunculifolia,-57.469136,-23.422867
Baccharis dracunculifolia,-59.08,-27.35
Baccharis dracunculifolia,-49.380556,-20.81
Baccharis dracunculifolia,-64.287778,-21.347778
Baccharis dracunculifolia,-42.632222,-22.870278
Baccharis dracunculifolia,-52.3425,-31.7719
