"species","longitude","latitude"
"Baccharis dracunculifolia",-59.54,-30.89
"Baccharis dracunculifolia",-42.016667,-20.716667
"Baccharis dracunculifolia",-53.090639,-24.529222
"Baccharis dracunculifolia",-45.136111,-22.516667
"Baccharis dracunculifolia",-51.1783,-29.0317
"Baccharis dracunculifolia",-41.654444,-21.760556
"Baccharis dracunculifolia",-65.12,-25.234722
"Baccharis dracunculifolia",-49.416667,-23.466667
"Baccharis dracunculifolia",-56.546111,-21.292222
"Baccharis dracunculifolia",-52.03,-27.25
"Baccharis dracunculifolia",-56.438055,-22.121111
