"Model","Mean_AUC_ratio","pval_pROC","Omission_rate_at_5%","AICc","delta_AICc","W_AICc","num_parameters"
"M_5_F_lqpth_set2",1.49452011374084,0,0.02,6424.08822371386,79.5598031923028,2.82019397350403e-20,15
"M_6_F_l_set1",1.13910348761992,0,0.06,6715.66264903812,371.134228516558,1.37409448189233e-83,4
"M_6_F_l_set2",1.08703016087241,0,0.1,6732.96994031244,388.441519790879,2.41056090820432e-87,3
"M_6_F_q_set1",1.42215171370755,0,0.04,6489.4978147895,144.969394267937,1.79375476585625e-34,4
"M_6_F_q_set2",1.45623000195325,0,0.02,6527.36804290782,182.839622386256,1.07821382839376e-42,3
"M_6_F_p_set1",1.48957123821115,0,0.02,6440.90125898192,96.3728384603601,6.47289715027734e-24,8
"M_6_F_p_set2",1.46107134932269,0,0.04,6467.79363499638,123.265214474814,9.41622234325146e-30,3
"M_6_F_t_set1",1.4889737506273,0,0.06,6417.22733784788,72.6989173263164,9.04909232118062e-19,15
"M_6_F_t_set2",1.46675382151597,0,0.04,6450.19433787654,105.665917354977,6.31424777883968e-26,14
"M_6_F_h_set1",1.55238509515673,0,0.02,6415.90466439372,71.3762438721533,1.77277147407763e-18,25
"M_6_F_h_set2",1.54189498166124,0,0.02,6429.75510153485,85.2266810132905,1.75188374981614e-21,16
"M_6_F_lq_set1",1.46362830887427,0,0.02,6456.69462237113,112.166201849565,2.48950585409964e-27,7
"M_6_F_lq_set2",1.44189123158458,0,0.02,6463.26619285785,118.737772336292,9.3665390279817e-29,5
"M_6_F_lp_set1",1.50397656152935,0,0.02,6426.61359074013,82.0851702185682,8.57174079495522e-21,9
"M_6_F_lp_set2",1.49189140436288,0,0.02,6450.20275977742,105.674339255858,6.50487179581747e-26,4
"M_6_F_lt_set1",1.49079220480202,0,0.06,6416.27035894942,71.7419384278628,1.52782296746392e-18,17
"M_6_F_lt_set2",1.45235194527772,0,0.04,6444.37011914551,99.8416986239445,1.21565199590003e-24,15
"M_6_F_lh_set1",1.54945326603509,0,0.02,6416.21507718662,71.6866566650588,1.58904174154321e-18,25
"M_6_F_lh_set2",1.51721680078874,0,0.02,6429.75510153485,85.2266810132905,1.83445741126317e-21,16
"M_6_F_qp_set1",1.50200840788922,0,0.02,6431.74555879212,87.2171382705556,6.82105679445411e-22,8
"M_6_F_qp_set2",1.46736499301436,0,0.02,6461.85463328667,117.326212765111,1.98760829410551e-28,5
"M_6_F_qt_set1",1.50418585867268,0,0.02,6424.4312621491,79.9028416275387,2.67491272289637e-20,12
"M_6_F_qt_set2",1.49219834369909,0,0.04,6457.37561950452,112.847198982957,1.88862598874039e-27,12
"M_6_F_qh_set1",1.56454700968115,0,0.02,6409.68699463725,65.1585741156914,4.30752432427707e-17,23
"M_6_F_qh_set2",1.55012530340032,0,0.02,6444.06345898124,99.5350384596741,1.4863388170322e-24,21
"M_6_F_pt_set1",1.51476524815621,0,0.02,6400.97884404072,56.4504235191553,3.39221796797694e-15,9
"M_6_F_pt_set2",1.49705959027799,0,0.02,6437.13836349121,92.6099429696433,4.79977563466469e-23,6
"M_6_F_ph_set1",1.53001088026394,0,0.04,6412.32847257855,67.8000520569885,1.17845762421967e-17,24
"M_6_F_ph_set2",1.49176240540174,0,0.02,6435.05311023403,90.5246897124662,1.37858036091437e-22,15
"M_6_F_th_set1",1.55563022453829,0,0.02,6405.97474694697,61.4463264254036,2.86052636252394e-16,21
"M_6_F_th_set2",1.53757633537465,0,0.02,6429.53518160567,85.0067610841052,2.20347089714987e-21,16
"M_6_F_lqp_set1",1.4974022866547,0,0.04,6433.47315362765,88.9447331060883,3.09563510202614e-22,9
"M_6_F_lqp_set2",1.47527192913664,0,0.02,6461.8735946819,117.345174160334,2.120568128357e-28,5
"M_6_F_lqt_set1",1.52172594783556,0,0.02,6422.96588441303,78.4374638914669,5.99724731745113e-20,12
"M_6_F_lqt_set2",1.45012105314234,0,0.02,6451.62220783907,107.093787317511,3.61515002076262e-26,9
"M_6_F_lqh_set1",1.55277051182136,0,0.02,6409.47487028897,64.9464497674117,5.16581319725022e-17,23
"M_6_F_lqh_set2",1.51267539629638,0,0.02,6441.95074320826,97.4223226867025,4.61259607621417e-24,20
"M_6_F_lpt_set1",1.52571359775463,0,0.02,6400.97884404072,56.4504235191553,3.66228451697142e-15,9
"M_6_F_lpt_set2",1.49747087948685,0,0.02,6437.13836349121,92.6099429696433,5.18445500167869e-23,6
"M_6_F_lph_set1",1.52993133192192,0,0.04,6412.32847257855,67.8000520569885,1.27354047850805e-17,24
"M_6_F_lph_set2",1.48691684986946,0,0.02,6432.76767838605,88.2392578644922,4.67332003104131e-22,14
"M_6_F_lth_set1",1.53044721603878,0,0.02,6411.18381470927,66.6553941877037,2.28797770253681e-17,23
"M_6_F_lth_set2",1.52608890396429,0,0.02,6429.53518160567,85.0067610841052,2.38491601470551e-21,16
"M_6_F_qpt_set1",1.51134732220963,0,0.02,6408.41052871326,63.8821081916958,9.28161657346428e-17,12
"M_6_F_qpt_set2",1.47739574124955,0,0.02,6442.2981399282,97.7697194066377,4.09292250855868e-24,7
"M_6_F_qph_set1",1.51493189249361,0,0.04,6409.75292398573,65.224503464171,4.81027129043534e-17,22
"M_6_F_qph_set2",1.47913863893239,0,0.02,6443.53260417397,99.0041836524106,2.23902393923738e-24,16
"M_6_F_qth_set1",1.55967479740095,0,0.02,6417.40693435391,72.8785138323447,1.06230933403942e-18,26
"M_6_F_qth_set2",1.53252364987599,0,0.02,6440.77418502373,96.2457645021695,9.02015616755624e-24,20
"M_6_F_pth_set1",1.52312695338847,0,0.04,6405.09684827692,60.5684277553582,5.07654933635375e-16,21
"M_6_F_pth_set2",1.49018317718585,0,0.02,6434.52269770343,89.9942771818642,2.08433959074061e-22,15
"M_6_F_lqpt_set1",1.50665449401196,0,0.02,6408.41052871326,63.8821081916958,9.82468662992707e-17,12
"M_6_F_lqpt_set2",1.47668155777715,0,0.02,6442.2981399282,97.7697194066377,4.33416497804541e-24,7
"M_6_F_lqph_set1",1.51976245640195,0,0.04,6409.75292398573,65.224503464171,5.09589969785235e-17,22
"M_6_F_lqph_set2",1.48262782882887,0,0.02,6443.53260417397,99.0041836524106,2.372968806464e-24,16
"M_6_F_lqth_set1",1.54147449772244,0,0.02,6416.90449989488,72.3760793733145,1.4480088032069e-18,26
"M_6_F_lqth_set2",1.51014048086512,0,0.02,6440.77418502373,96.2457645021695,9.56796072693378e-24,20
"M_6_F_lpth_set1",1.53412068660053,0,0.04,6404.6936782011,60.1652576795332,6.59039388219713e-16,21
"M_6_F_lpth_set2",1.48578263614428,0,0.02,6434.3183081355,89.7898876139379,2.45097910562331e-22,15
