"Model","Mean_AUC_ratio","pval_pROC","Omission_rate_at_5%","AICc","delta_AICc","W_AICc","num_parameters"
"M_2_F_qt_set1",1.52518749540705,0,0.04,6344.52842052156,0,0.580996073609367,27
"M_2_F_t_set1",1.51836860406486,0,0.04,6346.02014021639,1.49171969482995,0.27558170415369,28
