"Model","Mean_AUC_ratio","pval_pROC","Omission_rate_at_5%","AICc","delta_AICc","W_AICc","num_parameters"
"M_0.1_F_l_Set_1",1.17333000967431,0,0.0517241379310345,6373.01736216252,319.459037552268,8.73235456271304e-74,8
"M_0.1_F_l_Set_10",1.15869986803137,0,0.0517241379310345,6264.35862689913,210.800302288878,3.43688316647823e-50,9
"M_0.1_F_l_Set_2",1.18032051495397,0,0.0517241379310345,6379.26448877994,325.706164169689,3.84381741945123e-75,8
"M_0.1_F_l_Set_3",1.18514020720282,0,0.0517241379310345,6257.80178765204,204.243463041788,9.12309202081734e-49,8
"M_0.1_F_l_Set_4",1.19040164912686,0,0.0517241379310345,6275.54367940738,221.985354797123,1.28123297069556e-52,8
"M_0.1_F_l_Set_5",1.20729546720746,0,0.0517241379310345,6276.28795933587,222.729634725614,8.83280587826498e-53,7
"M_0.1_F_l_Set_6",1.18812956776145,0,0.0517241379310345,6273.88342007886,220.32509546861,2.93986022388375e-52,8
"M_0.1_F_l_Set_7",1.16825753499089,0,0.0517241379310345,6282.76796401777,229.20963940752,3.46067988030894e-54,8
"M_0.1_F_l_Set_8",1.1775712020274,0,0.0517241379310345,6262.4337093363,208.875384726048,9.0110976575874e-50,8
"M_0.1_F_l_Set_9",1.18805928790519,0,0.0517241379310345,6271.7195204698,218.161195859549,8.67917438374647e-52,8
"M_0.1_F_q_Set_1",1.38593732930663,0,0.0517241379310345,6153.1916843817,99.6333597714511,4.74853890748298e-26,7
"M_0.1_F_q_Set_10",1.38055956046355,0,0.0517241379310345,6146.76465766903,93.2063330587807,1.18102785595624e-24,8
"M_0.1_F_q_Set_2",1.38996193366845,0,0.0517241379310345,6154.39558262627,100.837258016015,2.60204546784255e-26,8
"M_0.1_F_q_Set_3",1.33842103998517,0,0.0517241379310345,6192.33243544796,138.774110837705,1.50494635394148e-34,8
"M_0.1_F_q_Set_4",1.38923392191079,0,0.0517241379310345,6146.81125998337,93.2529353731179,1.15453672760028e-24,8
"M_0.1_F_q_Set_5",1.39239876368096,0,0.0517241379310345,6148.21188814285,94.6535635325927,5.73263522335748e-25,8
"M_0.1_F_q_Set_6",1.3959524558639,0,0.0517241379310345,6146.72850322907,93.1701786188141,1.20380560908906e-24,8
"M_0.1_F_q_Set_7",1.37232321251027,0,0.0517241379310345,6151.08101823098,97.5226936207255,1.36618297969004e-25,7
"M_0.1_F_q_Set_8",1.38045681051245,0,0.0517241379310345,6164.70233740427,111.14401279402,1.50579601653578e-28,7
"M_0.1_F_q_Set_9",1.38857188215061,0,0.0517241379310345,6145.89680991321,92.3384853029575,1.82567606370437e-24,7
"M_0.1_F_p_Set_1",1.38216022998145,0,0.0517241379310345,6102.85392239901,49.2955977887568,4.05655318713458e-15,18
"M_0.1_F_p_Set_10",1.36563823466748,0,0.0517241379310345,6109.06393075949,55.5056061492405,1.81869636083262e-16,22
"M_0.1_F_p_Set_2",1.36142957426637,0,0.0517241379310345,6111.92563608423,58.3673114739813,4.34948668232636e-17,23
"M_0.1_F_p_Set_3",1.37770840003435,0,0.0517241379310345,6107.98309991748,54.4247753072323,3.12347545873704e-16,17
"M_0.1_F_p_Set_4",1.34035711036153,0,0.0517241379310345,6108.36357021625,54.8052456059959,2.58291005162098e-16,19
"M_0.1_F_p_Set_5",1.37060603153147,0,0.0517241379310345,6108.54659228422,54.9882676739699,2.35752237690286e-16,22
"M_0.1_F_p_Set_6",1.35584699093108,0,0.0517241379310345,6110.5397425635,56.9814179532505,8.70438388755909e-17,21
"M_0.1_F_p_Set_7",1.36973247937656,0,0.0517241379310345,6112.66236897257,59.1040443623169,3.01234620389397e-17,22
"M_0.1_F_p_Set_8",1.3538041691731,0,0.0517241379310345,6110.01905476593,56.4607301556807,1.12975065944618e-16,23
"M_0.1_F_p_Set_9",1.35818391361391,0,0.0517241379310345,6117.27263569195,63.7143110817005,3.00591620836843e-18,25
"M_0.1_F_t_Set_1",1.29302488232933,0,0.0517241379310345,NA,NA,NA,227
"M_0.1_F_t_Set_10",1.27334794438026,0,0.0517241379310345,NA,NA,NA,223
"M_0.1_F_t_Set_2",1.27016732920286,0,0.0517241379310345,NA,NA,NA,213
"M_0.1_F_t_Set_3",1.32847045541022,0,0.0517241379310345,NA,NA,NA,214
"M_0.1_F_t_Set_4",1.32629267783892,0,0.0517241379310345,NA,NA,NA,219
"M_0.1_F_t_Set_5",1.30957480535138,0,0.0517241379310345,NA,NA,NA,225
"M_0.1_F_t_Set_6",1.31988845860194,0,0.0517241379310345,NA,NA,NA,219
"M_0.1_F_t_Set_7",1.24894615636086,0,0.0517241379310345,NA,NA,NA,220
"M_0.1_F_t_Set_8",1.32893698950267,0,0.0517241379310345,NA,NA,NA,220
"M_0.1_F_t_Set_9",1.25980796400453,0,0.0517241379310345,NA,NA,NA,213
"M_0.1_F_h_Set_1",1.39508221632463,0,0.0517241379310345,14876.6218477336,8823.06352312335,0,185
"M_0.1_F_h_Set_10",1.41590967164616,0,0.0517241379310345,NA,NA,NA,205
"M_0.1_F_h_Set_2",1.42624552198245,0,0.0517241379310345,NA,NA,NA,202
